,0
2022-09-17 00:00:00-04:00,4161659904
2022-09-20 00:00:00-04:00,4202860032
2022-09-21 00:00:00-04:00,4292780032
2022-09-22 00:00:00-04:00,4254899968
2022-09-23 00:00:00-04:00,4296800256
2022-09-24 00:00:00-04:00,4253280000
2022-09-27 00:00:00-04:00,4268630016
2022-10-01 00:00:00-04:00,4287269888
2022-10-05 00:00:00-04:00,4156100096
2022-10-06 00:00:00-04:00,4171749888
2022-10-07 00:00:00-04:00,4276150016
2022-10-08 00:00:00-04:00,4331610112
2022-10-11 00:00:00-04:00,4217479936
2022-10-13 00:00:00-04:00,4259109888
2022-10-13 00:00:00-04:00,4236950016
2022-10-14 00:00:00-04:00,4013700096
2022-10-16 00:00:00-04:00,4223899904
2022-10-18 00:00:00-04:00,4175399936
2022-10-19 00:00:00-04:00,4246149888
2022-10-22 00:00:00-04:00,4194099968
2022-10-28 00:00:00-04:00,4208470016
2022-10-29 00:00:00-04:00,4194099968
2022-11-02 00:00:00-04:00,4217120000
2022-11-03 00:00:00-04:00,4279709952
2022-11-04 00:00:00-04:00,4258080000
2022-11-04 00:00:00-04:00,4331469824
2022-11-05 00:00:00-04:00,4194099968
2022-11-05 00:00:00-04:00,4225560064
2022-11-10 00:00:00-05:00,4213120000
2022-11-11 00:00:00-05:00,4194099968
2022-11-16 00:00:00-05:00,4207950080
2022-11-19 00:00:00-05:00,4224120064
2022-11-22 00:00:00-05:00,4207950080
2022-11-23 00:00:00-05:00,4213329920
2022-11-25 00:00:00-05:00,4301779968
2022-11-26 00:00:00-05:00,4231529984
2022-11-29 00:00:00-05:00,4261139968
2022-11-30 00:00:00-05:00,4259630080
2022-12-03 00:00:00-05:00,4208079872
2022-12-06 00:00:00-05:00,4299800064
2022-12-07 00:00:00-05:00,4269580032
2022-12-11 00:00:00-05:00,4322690048
2022-12-13 00:00:00-05:00,4268809984
2022-12-14 00:00:00-05:00,4240839936
2022-12-15 00:00:00-05:00,4275200000
2022-12-17 00:00:00-05:00,4346860032
2022-12-21 00:00:00-05:00,4274400000
2022-12-24 00:00:00-05:00,4226060032
2022-12-27 00:00:00-05:00,4251869952
2022-12-29 00:00:00-05:00,4261430016
2022-12-30 00:00:00-05:00,4212689920
2023-01-04 00:00:00-05:00,4189880064
2023-01-06 00:00:00-05:00,4234340096
2023-01-13 00:00:00-05:00,4189260032
2023-01-19 00:00:00-05:00,4216150016
2023-01-20 00:00:00-05:00,4189619968
2023-01-21 00:00:00-05:00,4170350080
2023-01-24 00:00:00-05:00,4184940032
2023-01-26 00:00:00-05:00,4200529920
2023-01-28 00:00:00-05:00,4168669952
2023-01-31 00:00:00-05:00,4211770112
2023-02-02 00:00:00-05:00,4168669952
2023-02-07 00:00:00-05:00,4229829888
2023-02-09 00:00:00-05:00,4183909888
2023-02-11 00:00:00-05:00,4242089984
2023-02-15 00:00:00-05:00,4207259904
2023-02-16 00:00:00-05:00,4179500032
2023-02-17 00:00:00-05:00,4222340096
2023-02-18 00:00:00-05:00,4186109952
2023-02-21 00:00:00-05:00,4205050112
2023-02-22 00:00:00-05:00,4239069952
2023-02-23 00:00:00-05:00,4221479936
2023-02-25 00:00:00-05:00,4270190080
2023-02-28 00:00:00-05:00,4179310080
2023-03-01 00:00:00-05:00,4183749888
2023-03-02 00:00:00-05:00,4189819904
2023-03-03 00:00:00-05:00,4168669952
2023-03-07 00:00:00-05:00,4213309952
2023-03-09 00:00:00-05:00,4176549888
2023-03-10 00:00:00-05:00,4250690048
2023-03-11 00:00:00-05:00,4232049920
2023-03-15 00:00:00-04:00,4135990016
2023-03-16 00:00:00-04:00,4209100032
2023-03-16 00:00:00-04:00,4213819904
2023-03-17 00:00:00-04:00,4135990016
2023-03-18 00:00:00-04:00,4156780032
2023-03-21 00:00:00-04:00,4154080000
2023-03-22 00:00:00-04:00,4135990016
2023-03-23 00:00:00-04:00,4186629888
2023-03-24 00:00:00-04:00,4135990016
