,0
2024-04-13 00:00:00-04:00,628729024
2024-04-16 00:00:00-04:00,633004032
2024-04-16 00:00:00-04:00,628729024
2024-04-17 00:00:00-04:00,628729024
2024-04-18 00:00:00-04:00,628729024
2024-04-19 00:00:00-04:00,628729024
2024-04-20 00:00:00-04:00,628729024
2024-04-23 00:00:00-04:00,628729024
2024-04-24 00:00:00-04:00,628729024
2024-04-25 00:00:00-04:00,637966976
2024-04-25 00:00:00-04:00,635326016
2024-04-25 00:00:00-04:00,628729024
2024-04-26 00:00:00-04:00,628729024
2024-04-30 00:00:00-04:00,638787008
2024-04-30 00:00:00-04:00,628729024
2024-05-03 00:00:00-04:00,628729024
2024-05-04 00:00:00-04:00,628729024
2024-05-07 00:00:00-04:00,628729024
2024-05-08 00:00:00-04:00,628729024
2024-05-09 00:00:00-04:00,628729024
2024-05-10 00:00:00-04:00,639761024
2024-05-10 00:00:00-04:00,628729024
2024-05-11 00:00:00-04:00,628729024
2024-05-11 00:00:00-04:00,629304000
2024-05-14 00:00:00-04:00,628729024
2024-05-15 00:00:00-04:00,629670976
2024-05-16 00:00:00-04:00,628729024
2024-05-17 00:00:00-04:00,628729024
2024-05-18 00:00:00-04:00,628729024
2024-05-21 00:00:00-04:00,632993984
2024-05-22 00:00:00-04:00,628729024
2024-05-23 00:00:00-04:00,628729024
2024-05-24 00:00:00-04:00,628729024
2024-05-24 00:00:00-04:00,631153984
2024-05-25 00:00:00-04:00,639048000
2024-05-25 00:00:00-04:00,628729024
2024-05-29 00:00:00-04:00,628729024
2024-05-30 00:00:00-04:00,628729024
2024-05-31 00:00:00-04:00,648531008
2024-05-31 00:00:00-04:00,628729024
2024-06-01 00:00:00-04:00,628729024
2024-06-04 00:00:00-04:00,628729024
2024-06-05 00:00:00-04:00,628729024
2024-06-07 00:00:00-04:00,628729024
2024-06-12 00:00:00-04:00,628729024
2024-06-13 00:00:00-04:00,628729024
2024-06-13 00:00:00-04:00,647411008
2024-06-21 00:00:00-04:00,626384000
2024-06-25 00:00:00-04:00,626384000
2024-06-26 00:00:00-04:00,626384000
2024-06-28 00:00:00-04:00,626384000
2024-06-28 00:00:00-04:00,629339008
2024-06-29 00:00:00-04:00,626384000
2024-07-02 00:00:00-04:00,626384000
2024-07-06 00:00:00-04:00,626384000
2024-07-09 00:00:00-04:00,626384000
2024-07-10 00:00:00-04:00,629347968
2024-07-10 00:00:00-04:00,626384000
2024-07-11 00:00:00-04:00,626384000
2024-07-11 00:00:00-04:00,631939008
2024-07-17 00:00:00-04:00,626384000
2024-07-18 00:00:00-04:00,626384000
2024-07-19 00:00:00-04:00,626384000
2024-07-23 00:00:00-04:00,626384000
2024-07-24 00:00:00-04:00,626384000
2024-07-24 00:00:00-04:00,628622016
2024-07-25 00:00:00-04:00,626384000
2024-08-01 00:00:00-04:00,626384000
2024-08-06 00:00:00-04:00,626384000
2024-08-09 00:00:00-04:00,626384000
2024-08-10 00:00:00-04:00,626384000
2024-08-10 00:00:00-04:00,626483968
2024-08-13 00:00:00-04:00,626384000
2024-08-13 00:00:00-04:00,630115008
2024-08-15 00:00:00-04:00,626384000
2024-08-20 00:00:00-04:00,626384000
2024-08-21 00:00:00-04:00,626384000
2024-08-22 00:00:00-04:00,626384000
2024-08-23 00:00:00-04:00,626384000
2024-08-24 00:00:00-04:00,626384000
2024-08-27 00:00:00-04:00,626384000
2024-08-28 00:00:00-04:00,626384000
2024-08-29 00:00:00-04:00,631936000
2024-08-29 00:00:00-04:00,626384000
2024-09-04 00:00:00-04:00,626513024
2024-09-04 00:00:00-04:00,626384000
2024-09-06 00:00:00-04:00,626384000
2024-09-06 00:00:00-04:00,632006016
2024-09-07 00:00:00-04:00,626384000
2024-09-07 00:00:00-04:00,628393024
2024-09-10 00:00:00-04:00,626384000
2024-09-11 00:00:00-04:00,626384000
2024-09-12 00:00:00-04:00,626384000
2024-09-13 00:00:00-04:00,626384000
2024-09-14 00:00:00-04:00,626384000
2024-09-19 00:00:00-04:00,626384000
2024-09-21 00:00:00-04:00,626384000
2024-09-25 00:00:00-04:00,626384000
2024-09-27 00:00:00-04:00,626000000
2024-09-28 00:00:00-04:00,626000000
2024-09-28 00:00:00-04:00,636937984
2024-10-16 00:00:00-04:00,624856000
2024-10-17 00:00:00-04:00,624856000
2024-10-18 00:00:00-04:00,629707008
2024-10-18 00:00:00-04:00,624856000
2024-10-23 00:00:00-04:00,624856000
2024-10-24 00:00:00-04:00,624856000
2024-10-25 00:00:00-04:00,635835008
2024-10-25 00:00:00-04:00,641880000
2024-10-29 00:00:00-04:00,624856000
2024-10-30 00:00:00-04:00,624856000
2024-10-31 00:00:00-04:00,624856000
2024-10-31 00:00:00-04:00,654550976
2024-11-01 00:00:00-04:00,628027008
2024-11-01 00:00:00-04:00,624856000
2024-11-05 00:00:00-05:00,624856000
2024-11-05 00:00:00-05:00,628072000
2024-11-06 00:00:00-05:00,624856000
2024-11-07 00:00:00-05:00,624856000
2024-11-14 00:00:00-05:00,624856000
2024-11-15 00:00:00-05:00,624856000
2024-11-16 00:00:00-05:00,639878016
2024-11-16 00:00:00-05:00,624856000
2024-11-19 00:00:00-05:00,626236992
